"","full_ecosystem_type_name","biogeographical_zone","outletcount","tot_ext24","tot_ext18","tot_ext11","eoo_km2","mean_cond11","mean_cond18","mean_cond24","fishsum24","fishsum18","prp18_cde","prp18_de","prp18_e","fishindex18","prp18_fp_mhvh","prp18_fp_hvh","prp18_fp_vh","pes_decline1118","fp_inc1118","prp24_cde","prp24_de","prp24_e","fishindex24","prp24_fp_mhvh","prp24_fp_hvh","prp24_fp_vh","pes_decline1824","fp_inc1824","typenow_area","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","prplost9040_9022","ard9018","prplost9040_9018","A2b_18","A3_18","B3_18","D1fb_18","D3_18","A2b_24","A3_24","B3_24","D1fb_24","D3_24","RLE18","RLE24","trigger18","trigger24"
"11","2 Warm Temperate - Large Fluvially Dominated","WTemp",1,5725821.12925239,5725821.12925239,5725821.12925239,32.858326942531,69.625,72.8613006645051,68.2083333333333,4008074.79047667,3435492.67755143,1,0,0,0.4,1,1,0,"nodecline1118","fpinc1118",1,0,0,0.3,1,1,1,"nodecline1824","fpinc1824",5728800,0.992459153749476,0.992319508448541,0.98882837592515,0.988618907973747,687.5,0.00604597579850851,742.857142857143,0.00653279462903779,"LC","LC","VU","VU","VU","LC","LC","VU","VU","VU","VU","VU","B3_18, D1fb_18, D3_18","B3_24, D1fb_24, D3_24"
"12","2 Warm Temperate - Large Temporarily Closed","WTemp",40,69259667.3221285,69259667.3221285,69259667.3221285,37350.5737955827,78.5,79.1600800330645,78.1178142104531,44152165.2542136,46604482.348741,0.409217972536887,0.213309886811422,0.0640300073039001,0.327105021570745,0.44201877120438,0.100503736435303,0,"decline1118","nofpinc1118",0.379577166795374,0.213309886811422,0.0640300073039001,0.362512599882111,0.522800125834383,0.30903478534636,0.0750033067215623,"nodecline1824","fpinc1824",65765600,0.810612234967825,0.79206150327831,0.766783850523678,0.763955624216916,95887.5,0.0899332025270866,102942.857142857,0.0965504452628916,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"13","2 Warm Temperate - Predominantly Open","WTemp",25,176692482.93924,176692482.93924,176692482.93924,52659.2126435925,76.674,75.8610345307653,72.51264717351,102797055.696077,115177017.966656,0.469751345266781,0.212458584988948,0,0.348149870041374,0.897922859980752,0.830732214688676,0,"decline1118","fpinc1118",0.720139264076789,0.290442953711661,0,0.418214889586298,0.989824643130329,0.872346202060673,0.627602609845266,"decline1824","fpinc1824",146254400,0.742943802032623,0.708521589777812,0.681248564145762,0.676812458291853,302250,0.139082154413632,322257.142857143,0.148288561468166,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"14","2 Warm Temperate - Small Fluvially Dominated","WTemp",6,1224358.29857325,1224358.29857325,1224358.29857325,105.975008696398,88.4458333333333,93.6216231731018,91.6632898397684,1048371.29044549,1086769.5668357,0,0,0,0.112376198942649,0,0,0,"nodecline1118","nofpinc1118",0,0,0,0.143738159273177,0,0,0,"nodecline1824","nofpinc1824",1212800,1,1,0.955804749340369,0.949868073878628,1900,0.0783311345646438,1914.28571428571,0.0789200904636261,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","A2b_18, A3_18, B3_18, D1fb_18, D3_18","A2b_24, A3_24, B3_24, D1fb_24, D3_24"
"15","2 Warm Temperate - Small Temporarily Closed","WTemp",48,16102721.1742301,16102721.1742301,16102721.1742301,40842.6864561514,78.0645833333333,79.012235676662,76.6362857318243,11665840.9916756,12055362.5348033,0.199301874104272,0.0870160446568401,0.0781334405445448,0.251346253570112,0,0,0,"nodecline1118","nofpinc1118",0.276613795560804,0.091899365610587,0.0781334405445448,0.275536049748851,0.0418656138944807,0.0418656138944807,0,"nodecline1824","nofpinc1824",15638000,0.938150658652002,0.925463614272925,0.913492774012022,0.91101163831692,13262.5,0.0452003299070262,13771.4285714286,0.0469348248610457,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","A2b_18, A3_18, B3_18, D1fb_18, D3_18","A2b_24, A3_24, B3_24, D1fb_24, D3_24"
"16","3 Subtropical - Estuarine Bay","SubTrop",1,28152019.8774511,28152019.8774511,28152019.8774511,43.8168714654349,39.8,26.2604729372604,24.8604729372604,1407600.99387255,1407600.99387255,1,1,1,0.95,1,1,1,"decline1118","fpinc1118",1,1,1,0.95,1,1,1,"decline1824","fpinc1824",28152800,0.455826773891052,0.415319257764769,0.32829416612202,0.319882924611406,119600,0.465993391933171,128228.571428571,0.499612599855727,"VU","VU","VU","CR","CR","VU","VU","VU","CR","CR","CR","CR","D1fb_18, D3_18","D1fb_24, D3_24"
"17","3 Subtropical - Estuarine Lake","SubTrop",4,818752767.461073,818752767.461073,818752767.461073,3408.78850430388,49.35,42.8875,38.09375,300461301.668961,364840871.087347,1,1,0.0229095041833108,0.554394335400285,1,1,0.977090495816689,"decline1118","fpinc1118",1,1,0.100650587970372,0.633025604785823,1,1,1,"decline1824","fpinc1824",507128400,0.829556380593159,0.803449382838745,0.791553381747108,0.765529203255034,1014687.5,0.120597546991668,688300,0.0818057693569351,"LC","LC","VU","EN","EN","LC","LC","VU","EN","EN","EN","EN","D1fb_18, D3_18","D1fb_24, D3_24"
"18","3 Subtropical - Large Fluvially Dominated","SubTrop",5,107658288.479826,107658288.479826,107658288.479826,12918.3411726763,61.705,66.229,62.8861666666667,39499949.988711,49060314.6178039,0.878092772360951,0.878092772360951,0,0.54429598212499,0.973187661622309,0.973187661622309,0.894914443544518,"decline1118","fpinc1118",0.92172678192221,0.878092772360951,0,0.633098848714164,1,0.973187661622309,0.894914443544518,"nodecline1824","fpinc1824",104650000,0.667042522694697,0.534769230769231,0.523107501194458,0.52104347826087,477462.5,0.341992450505687,537957.142857143,0.385322997204497,"VU","LC","VU","EN","VU","VU","LC","VU","EN","VU","EN","EN","D1fb_18","D1fb_24"
"19","3 Subtropical - Large Temporarily Closed","SubTrop",44,50512089.7559682,50512089.7559682,50512089.7559682,6359.6927652864,70.775,71.0241491725454,68.2046352280255,26879926.9417887,29737749.4712456,0.563994101170815,0.168977134089788,0.0176916187965208,0.41127461534628,0.713886915785675,0.295262615628299,0.0842115328823528,"nodecline1118","fpinc1118",0.709292796762354,0.275205331156733,0.0863341391938717,0.467851615887408,0.862825098736882,0.48933260918283,0.246402864093744,"decline1824","fpinc1824",49578400,0.665459151566005,0.611484033369371,0.58827231213593,0.585537250092782,123825,0.18765685430584,136671.428571429,0.207125623736722,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"20","3 Subtropical - Predominantly Open","SubTrop",17,78499142.0166852,78499142.0166852,78499142.0166852,8874.897972741,74.2402941176471,76.3375348285556,72.8693628546613,44480108.056713,47276786.9369878,0.252929775733493,0.141145762987409,0.141145762987409,0.397741354587811,0.910262343260858,0.910262343260858,0.145010057477193,"nodecline1118","fpinc1118",0.69085367303642,0.141145762987409,0.141145762987409,0.433368226530951,1,1,0.822340144254339,"nodecline1824","fpinc1824",70417200,0.591014695273314,0.544463568559954,0.522366694500775,0.518526723584579,159512.5,0.191640676060128,172642.857142857,0.207415681277701,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"21","3 Subtropical - Small Temporarily Closed","SubTrop",60,20483903.6645557,20483903.6645557,20483903.6645557,6668.43667089558,78.91125,77.9442164891727,75.2963871232096,13533943.9761175,14146147.8765702,0.385303088514843,0.124982245435499,0.0880539298862456,0.309401757192993,0.352224851308511,0.0434000291934663,0,"decline1118","nofpinc1118",0.423873581225154,0.140866109096276,0.10991953674963,0.339288829036238,0.408301150765938,0.153732907659119,0.0701264193985849,"decline1824","fpinc1824",20405200,0.801148726795131,0.789916295846157,0.772901025228863,0.771136769058867,19137.5,0.0585330568401478,20585.7142857143,0.0629624968977535,"LC","LC","LC","VU","LC","LC","LC","LC","VU","LC","VU","VU","D1fb_18","D1fb_24"
"22","4 Tropical - Estuarine Lake","Tropical",2,81662947.7243529,81662947.7243529,81662947.7243529,563.828687610187,82.1625,86.0375,83.1375,55505399.9315031,59588547.3177207,0,0,0,0.270311089934478,1,1,0.898444550327611,"nodecline1118","fpinc1118",0,0,0,0.320311089934478,1,1,1,"nodecline1824","fpinc1824",48300400,0.974998136661394,0.961938203410324,0.960008612765112,0.959462033440717,23450,0.024897648897496,25857.1428571429,0.0274533929360145,"LC","LC","VU","LC","LC","LC","LC","VU","VU","LC","VU","VU","B3_18","B3_24, D1fb_24"
